language_code,language_name,form_uid,form_id,form_part,question_number,source_row_index,source_id
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,1,0,sw02005_B_2
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,2,1,sw02005_B_4
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,3,2,sw02005_B_8
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,4,3,sw02005_B_14
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,5,4,sw02005_A_19
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,6,5,sw02005_A_29
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,7,6,sw02005_A_37
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,8,7,sw02005_A_47
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,9,8,sw02005_A_55
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,10,9,sw02005_A_65
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,11,10,sw02005_A_81
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,12,11,sw02005_A_93
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,13,12,sw02005_A_99
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,14,13,sw02005_A_111
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,15,14,sw02005_A_121
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,16,15,sw02005_A_127
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,17,16,sw02005_A_147
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,18,17,sw02005_A_149
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,19,18,sw02005_A_155
ZH,Mandarin,ZH_T1,1WEmJRBUa_uBtkEhn-MgmBOCi-jFbeBcGprP49o-6syY,1,20,19,sw02008_B_2
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,1,20,sw02008_B_6
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,2,21,sw02008_B_18
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,3,22,sw02008_A_19
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,4,23,sw02008_B_48
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,5,24,sw02008_B_62
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,6,25,sw02008_A_75
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,7,26,sw02010_B_22
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,8,27,sw02010_A_23
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,9,28,sw02010_B_38
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,10,29,sw02010_B_50
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,11,30,sw02012_A_15
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,12,31,sw02012_A_25
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,13,32,sw02012_B_40
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,14,33,sw02012_B_50
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,15,34,sw02012_A_61
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,16,35,sw02012_A_63
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,17,36,sw02012_A_65
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,18,37,sw02012_A_71
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,19,38,sw02012_A_87
ZH,Mandarin,ZH_T2,1HHlQIf1aiGRWwdh2TESRE2YnLjoMCawdFlk3vjjn-L4,2,20,39,sw02012_B_98
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,1,40,sw02012_A_99
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,2,41,sw02012_A_101
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,3,42,sw02015_B_18
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,4,43,sw02015_B_20
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,5,44,sw02015_B_22
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,6,45,sw02015_B_30
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,7,46,sw02018_B_61
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,8,47,sw02018_A_86
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,9,48,sw02020_A_3
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,10,49,sw02020_B_20
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,11,50,sw02020_B_24
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,12,51,sw02020_B_32
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,13,52,sw02020_B_34
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,14,53,sw02020_B_64
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,15,54,sw02020_B_104
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,16,55,sw02020_B_110
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,17,56,sw02020_B_118
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,18,57,sw02020_B_120
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,19,58,sw02022_B_12
ZH,Mandarin,ZH_T3,1NXfDBR3Hx0CrG1PPc-jttw6rT7XQ-nxeqeLA2JfLlVQ,3,20,59,sw02022_B_18
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,1,60,sw02022_A_21
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,2,61,sw02022_A_39
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,3,62,sw02022_A_45
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,4,63,sw02022_B_52
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,5,64,sw02022_B_54
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,6,65,sw02024_B_4
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,7,66,sw02024_B_8
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,8,67,sw02024_A_15
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,9,68,sw02024_B_18
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,10,69,sw02024_A_35
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,11,70,sw02027_A_7
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,12,71,sw02027_B_16
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,13,72,sw02027_A_31
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,14,73,sw02027_A_65
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,15,74,sw02027_A_79
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,16,75,sw02028_A_125
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,17,76,sw02028_A_147
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,18,77,sw02032_A_39
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,19,78,sw02032_A_77
ZH,Mandarin,ZH_T4,1Oc5wMyFbuwVDvN-MOZwb_NJrfdrCK_SML1vZeeA_K9I,4,20,79,sw02032_A_135
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,1,0,sw02005_B_2
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,2,1,sw02005_B_4
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,3,2,sw02005_B_8
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,4,3,sw02005_B_14
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,5,4,sw02005_A_19
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,6,5,sw02005_A_29
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,7,6,sw02005_A_37
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,8,7,sw02005_A_47
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,9,8,sw02005_A_55
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,10,9,sw02005_A_65
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,11,10,sw02005_A_81
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,12,11,sw02005_A_93
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,13,12,sw02005_A_99
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,14,13,sw02005_A_111
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,15,14,sw02005_A_121
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,16,15,sw02005_A_127
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,17,16,sw02005_A_147
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,18,17,sw02005_A_149
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,19,18,sw02005_A_155
ES,Spanish,ES_T1,1ISiBRCwANOsK-sGuWCmZyNOd7vpvq9TNKjStBf4NYVo,1,20,19,sw02008_B_2
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,1,20,sw02008_B_6
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,2,21,sw02008_B_18
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,3,22,sw02008_A_19
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,4,23,sw02008_B_48
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,5,24,sw02008_B_62
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,6,25,sw02008_A_75
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,7,26,sw02010_B_22
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,8,27,sw02010_A_23
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,9,28,sw02010_B_38
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,10,29,sw02010_B_50
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,11,30,sw02012_A_15
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,12,31,sw02012_A_25
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,13,32,sw02012_B_40
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,14,33,sw02012_B_50
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,15,34,sw02012_A_61
ES,Spanish,ES_T2,1DTQSDcpR6Oj8GpscuVhvobbo5qggK71-eazIR9ywsHU,2,16,35,sw02012_A_63
